City,Countries,Country,Date,Observation,Opponent,Round,Stadium,Team,Time,Year,Game #,Opponent G,Team G
Lens,Spain,France,24-06-1998,,Spain,Group D,Stade Felix Bollaert,Bulgaria, 21:00,1998,555,6,1
Belo Horizonte,Germany,Brazil,08-07-2014,,Germany,Semi-finals,Estadio Mineirao,Brazil, 17:00,2014,827,7,1
Belo Horizonte,Germany,Brazil,08-07-2014,,Germany,Semi-finals,Estadio Mineirao,Brazil, 17:00,2014,849,7,1
Sao Paulo,Netherlands,Brazil,23-06-2014,,Chile,Group B,Arena de Sao Paulo,Netherlands, 13:00,2014,806,0,2
Rio De Janeiro,Chile,Brazil,18-06-2014,,Spain,Group B,Estadio do Maracana,Chile, 16:00,2014,791,0,2
Brasilia,France,Brazil,30-06-2014,,Nigeria,Round of 16,Estadio Nacional,France, 13:00,2014,823,0,2
Brasilia,France,Brazil,30-06-2014,,Nigeria,Round of 16,Estadio Nacional,France, 13:00,2014,841,0,2
Rio De Janeiro,Colombia,Brazil,28-06-2014,,Uruguay,Round of 16,Estadio do Maracana,Colombia, 17:00,2014,822,0,2
Rio De Janeiro,Colombia,Brazil,28-06-2014,,Uruguay,Round of 16,Estadio do Maracana,Colombia, 17:00,2014,838,0,2
Montpellier,Germany,France,25-06-1998,,Iran,Group F,La Mosson,Germany, 21:00,1998,559,0,2
Paris,Germany,France,15-06-1998,,USA,Group F,Parc des Princes,Germany, 21:00,1998,532,0,2
Marseilles,England,France,15-06-1998,,Tunisia,Group G,Stade Vï¿½lodrome,England, 14:30,1998,530,0,2
Lens,England,France,26-06-1998,,Colombia,Group G,Stade Felix Bollaert,England, 21:00,1998,564,0,2
Gelsenkirchen,Ecuador,Germany,09-06-2006,,Poland,Group A,"FIFA World Cup Stadium, Gelsenkirchen",Ecuador, 21:00,2006,646,0,2
Nuremberg,England,Germany,15-06-2006,,Trinidad and Tobago,Group B,Franken-Stadion,England, 18:00,2006,663,0,2
Kaiserslautern,Paraguay,Germany,20-06-2006,,Trinidad and Tobago,Group B,Fritz-Walter-Stadion,Paraguay, 21:00,2006,680,0,2
Frankfurt/Main,Portugal,Germany,17-06-2006,,IR Iran,Group D,"FIFA World Cup Stadium, Frankfurt",Portugal, 15:00,2006,668,0,2
Hamburg,Italy,Germany,22-06-2006,,Czech Republic,Group E,"FIFA World Cup Stadium, Hamburg",Italy, 16:00,2006,685,0,2
Cologne,Ghana,Germany,17-06-2006,,Czech Republic,Group E,"FIFA World Cup Stadium, Cologne",Ghana, 18:00,2006,669,0,2
Hanover,Italy,Germany,12-06-2006,,Ghana,Group E,"FIFA World Cup Stadium, Hanover",Italy, 21:00,2006,655,0,2
Munich,Brazil,Germany,18-06-2006,,Australia,Group F,"FIFA World Cup Stadium, Munich",Brazil, 18:00,2006,672,0,2
Dortmund,Switzerland,Germany,19-06-2006,,Togo,Group G,"FIFA World Cup Stadium, Dortmund",Switzerland, 15:00,2006,674,0,2
Cologne,France,Germany,23-06-2006,,Togo,Group G,"FIFA World Cup Stadium, Cologne",France, 21:00,2006,691,0,2
Hanover,Switzerland,Germany,23-06-2006,,Korea Republic,Group G,"FIFA World Cup Stadium, Hanover",Switzerland, 21:00,2006,692,0,2
Munich,Germany,Germany,24-06-2006,,Sweden,Round of 16,"FIFA World Cup Stadium, Munich",Germany, 17:00,2006,693,0,2
Dortmund,Italy,Germany,04-07-2006,Italy win after extra time,Germany,Semi-finals,"FIFA World Cup Stadium, Dortmund",Italy, 21:00,2006,705,0,2
Yokohama,Brazil,Korea/Japan,30-06-2002,,Germany,Final,International Stadium Yokohama,Brazil, 20:00,2002,644,0,2
Incheon,Denmark,Korea/Japan,11-06-2002,,France,Group A,Incheon Football Stadium,Denmark, 15:30,2002,613,0,2
Gwangju,Costa Rica,Korea/Japan,04-06-2002,,China PR,Group C,Gwangju World Cup Stadium,Costa Rica, 15:30,2002,592,0,2
Busan,Korea Republic,Korea/Japan,04-06-2002,,Poland,Group D,Busan Asiad Main Stadium,Korea Republic, 20:30,2002,594,0,2
Shizuoka,Germany,Korea/Japan,11-06-2002,,Cameroon,Group E,Shizuoka Stadium Ecopa,Germany, 20:30,2002,616,0,2
Sapporo,Italy,Korea/Japan,03-06-2002,,Ecuador,Group G,Sapporo Dome,Italy, 20:30,2002,590,0,2
Osaka,Japan,Korea/Japan,14-06-2002,,Tunisia,Group H,Osaka Nagai Stadium,Japan, 15:30,2002,625,0,2
Kobe,Russia,Korea/Japan,05-06-2002,,Tunisia,Group H,Kobe Wing Stadium,Russia, 15:30,2002,595,0,2
Jeonju,USA,Korea/Japan,17-06-2002,,Mexico,Round of 16,Jeonju World Cup Stadium,USA, 15:30,2002,634,0,2
Kobe,Brazil,Korea/Japan,17-06-2002,,Belgium,Round of 16,Kobe Wing Stadium,Brazil, 20:30,2002,633,0,2
Polokwane,Mexico,South Africa,17-06-2010,,France,Group A,Peter Mokaba Stadium,Mexico, 20:30,2010,728,0,2
Nelson Mandela Bay/Port Elizabeth,Korea Republic,South Africa,12-06-2010,,Greece,Group B,Port Elizabeth Stadium,Korea Republic, 13:30,2010,711,0,2
Polokwane,Argentina,South Africa,22-06-2010,,Greece,Group B,Peter Mokaba Stadium,Argentina, 20:30,2010,744,0,2
Johannesburg,Netherlands,South Africa,14-06-2010,,Denmark,Group E,Soccer City Stadium,Netherlands, 13:30,2010,717,0,2
Mangaung/Bloemfontein,Paraguay,South Africa,20-06-2010,,Slovakia,Group F,Free State Stadium,Paraguay, 13:30,2010,735,0,2
Johannesburg,Spain,South Africa,21-06-2010,,Honduras,Group H,Ellis Park Stadium,Spain, 20:30,2010,740,0,2
Orlando,Netherlands,USA,04-07-1994,,Republic of Ireland,Round of 16,Citrus Bowl,Netherlands, 12:00,1994,505,0,2
Brasilia,Colombia,Brazil,19-06-2014,,Cï¿½te d'Ivoire,Group C,Estadio Nacional,Colombia, 13:00,2014,793,1,2
Fortaleza,Greece,Brazil,24-06-2014,,Cï¿½te d'Ivoire,Group C,Estadio Castelao,Greece, 17:00,2014,812,1,2
Recife,Cï¿½te d'Ivoire,Brazil,14-06-2014,,Japan,Group C,Arena Pernambuco,Cï¿½te d'Ivoire, 22:00,2014,780,1,2
Sao Paulo,Uruguay,Brazil,19-06-2014,,England,Group D,Arena de Sao Paulo,Uruguay, 16:00,2014,794,1,2
Manaus,Italy,Brazil,14-06-2014,,England,Group D,Arena Amazonia,Italy, 18:00,2014,779,1,2
Brasilia,Switzerland,Brazil,15-06-2014,,Ecuador,Group E,Estadio Nacional,Switzerland, 13:00,2014,781,1,2
Curitiba,Ecuador,Brazil,20-06-2014,,Honduras,Group E,Arena da Baixada,Ecuador, 19:00,2014,798,1,2
Rio De Janeiro,Argentina,Brazil,15-06-2014,,Bosnia and Herzegovina,Group F,Estadio do Maracana,Argentina, 19:00,2014,783,1,2
Brasilia,Portugal,Brazil,26-06-2014,,Ghana,Group G,Estadio Nacional,Portugal, 13:00,2014,818,1,2
Natal,USA,Brazil,16-06-2014,,Ghana,Group G,Estadio das Dunas,USA, 19:00,2014,786,1,2
Belo Horizonte,Belgium,Brazil,17-06-2014,,Algeria,Group H,Estadio Mineirao,Belgium, 13:00,2014,787,1,2
Fortaleza,Brazil,Brazil,04-07-2014,,Colombia,Quarter-finals,Estadio Castelao,Brazil, 17:00,2014,825,1,2
Fortaleza,Brazil,Brazil,04-07-2014,,Colombia,Quarter-finals,Estadio Castelao,Brazil, 17:00,2014,846,1,2
Fortaleza,Netherlands,Brazil,29-06-2014,,Mexico,Round of 16,Estadio Castelao,Netherlands, 13:00,2014,833,1,2
Fortaleza,Netherlands,Brazil,29-06-2014,,Mexico,Round of 16,Estadio Castelao,Netherlands, 13:00,2014,839,1,2
Salvador,Belgium,Brazil,01-07-2014,Belgium win after extra time,USA,Round of 16,Arena Fonte Nova,Belgium, 17:00,2014,836,1,2
Salvador,Belgium,Brazil,01-07-2014,Belgium win after extra time,USA,Round of 16,Arena Fonte Nova,Belgium, 17:00,2014,844,1,2
Porto Alegre,Germany,Brazil,30-06-2014,Germany win after extra time,Algeria,Round of 16,Estadio Beira-Rio,Germany, 17:00,2014,824,1,2
Porto Alegre,Germany,Brazil,30-06-2014,Germany win after extra time,Algeria,Round of 16,Estadio Beira-Rio,Germany, 17:00,2014,842,1,2
Saint-Denis,Brazil,France,10-06-1998,,Scotland,Group A,Stade de France,Brazil, 17:30,1998,517,1,2
Marseilles,Norway,France,23-06-1998,,Brazil,Group A,Stade Vï¿½lodrome,Norway, 21:00,1998,552,1,2
Saint-Denis,Italy,France,23-06-1998,,Austria,Group B,Stade de France,Italy, 16:00,1998,549,1,2
Lyon,France,France,24-06-1998,,Denmark,Group C,Stade de Gerland,France, 16:00,1998,553,1,2
Lyon,Iran,France,21-06-1998,,USA,Group F,Stade de Gerland,Iran, 21:00,1998,546,1,2
Toulouse,Romania,France,22-06-1998,,England,Group G,Stade Municipal,Romania, 21:00,1998,548,1,2
Lyon,Jamaica,France,26-06-1998,,Japan,Group H,Stade de Gerland,Jamaica, 16:00,1998,561,1,2
Paris,Croatia,France,11-07-1998,,Netherlands,Match for third place,Parc des Princes,Croatia, 21:00,1998,579,1,2
Marseilles,Netherlands,France,04-07-1998,,Argentina,Quarter-finals,Stade Vï¿½lodrome,Netherlands, 16:30,1998,575,1,2
Montpellier,Germany,France,29-06-1998,,Mexico,Round of 16,La Mosson,Germany, 16:30,1998,569,1,2
Toulouse,Netherlands,France,29-06-1998,,Yugoslavia,Round of 16,Stade Municipal,Netherlands, 21:00,1998,570,1,2
Saint-Denis,France,France,08-07-1998,,Croatia,Semi-finals,Stade de France,France, 21:00,1998,578,1,2
Hanover,Poland,Germany,20-06-2006,,Costa Rica,Group A,"FIFA World Cup Stadium, Hanover",Poland, 16:00,2006,678,1,2
Stuttgart,Netherlands,Germany,16-06-2006,,Cï¿½te d'Ivoire,Group C,Gottlieb-Daimler-Stadion,Netherlands, 18:00,2006,666,1,2
Hamburg,Argentina,Germany,10-06-2006,,Cï¿½te d'Ivoire,Group C,"FIFA World Cup Stadium, Hamburg",Argentina, 21:00,2006,649,1,2
Gelsenkirchen,Portugal,Germany,21-06-2006,,Mexico,Group D,"FIFA World Cup Stadium, Gelsenkirchen",Portugal, 16:00,2006,682,1,2
Nuremberg,Ghana,Germany,22-06-2006,,USA,Group E,Franken-Stadion,Ghana, 16:00,2006,686,1,2
Frankfurt/Main,Korea Republic,Germany,13-06-2006,,Togo,Group G,"FIFA World Cup Stadium, Frankfurt",Korea Republic, 15:00,2006,656,1,2
Leipzig,Argentina,Germany,24-06-2006,Argentina win after extra time,Mexico,Round of 16,Zentralstadion,Argentina, 21:00,2006,694,1,2
Ulsan,Denmark,Korea/Japan,01-06-2002,,Uruguay,Group A,Munsu Football Stadium,Denmark, 18:00,2002,582,1,2
Ulsan,Brazil,Korea/Japan,03-06-2002,,Turkey,Group C,Munsu Football Stadium,Brazil, 18:00,2002,589,1,2
Kobe,Sweden,Korea/Japan,07-06-2002,,Nigeria,Group F,Kobe Wing Stadium,Sweden, 15:30,2002,601,1,2
Rifu,Mexico,Korea/Japan,09-06-2002,,Ecuador,Group G,Miyagi Stadium,Mexico, 15:30,2002,609,1,2
Ibaraki,Croatia,Korea/Japan,08-06-2002,,Italy,Group G,Kashima Stadium,Croatia, 18:00,2002,606,1,2
Shizuoka,Brazil,Korea/Japan,21-06-2002,,England,Quarter-finals,Shizuoka Stadium Ecopa,Brazil, 15:30,2002,637,1,2
Oita,Senegal,Korea/Japan,16-06-2002,Win on Golden Goal,Sweden,Round of 16,Oita Stadium Big Eye,Senegal, 15:30,2002,632,1,2
Daejeon,Korea Republic,Korea/Japan,18-06-2002,Win on Golden Goal,Italy,Round of 16,Daejeon World Cup Stadium,Korea Republic, 20:30,2002,636,1,2
Mangaung/Bloemfontein,South Africa,South Africa,22-06-2010,,France,Group A,Free State Stadium,South Africa, 16:00,2010,742,1,2
Mangaung/Bloemfontein,Greece,South Africa,17-06-2010,,Nigeria,Group B,Free State Stadium,Greece, 16:00,2010,727,1,2
Nelspruit,Australia,South Africa,23-06-2010,,Serbia,Group D,Mbombela Stadium,Australia, 20:30,2010,748,1,2
Tshwane/Pretoria,Denmark,South Africa,19-06-2010,,Cameroon,Group E,Loftus Versfeld Stadium,Denmark, 20:30,2010,734,1,2
Cape Town,Netherlands,South Africa,24-06-2010,,Cameroon,Group E,Cape Town Stadium,Netherlands, 20:30,2010,752,1,2
Johannesburg,Brazil,South Africa,15-06-2010,,Korea DPR,Group G,Ellis Park Stadium,Brazil, 20:30,2010,722,1,2
Tshwane/Pretoria,Spain,South Africa,25-06-2010,,Chile,Group H,Loftus Versfeld Stadium,Spain, 20:30,2010,755,1,2
Nelson Mandela Bay/Port Elizabeth,Netherlands,South Africa,02-07-2010,,Brazil,Quarter-finals,Port Elizabeth Stadium,Netherlands, 16:00,2010,765,1,2
Durban,Netherlands,South Africa,28-06-2010,,Slovakia,Round of 16,Durban Stadium,Netherlands, 16:00,2010,761,1,2
Nelson Mandela Bay/Port Elizabeth,Uruguay,South Africa,26-06-2010,,Korea Republic,Round of 16,Port Elizabeth Stadium,Uruguay, 16:00,2010,757,1,2
Phokeng,Ghana,South Africa,26-06-2010,Ghana win after extra time,USA,Round of 16,Royal Bafokeng Sports Palace,Ghana, 20:30,2010,758,1,2
New York/New Jersey,Bulgaria,USA,10-07-1994,,Germany,Quarter-finals,Giants Stadium,Bulgaria, 12:00,1994,511,1,2
Boston,Italy,USA,09-07-1994,,Spain,Quarter-finals,Foxboro Stadium,Italy, 12:00,1994,509,1,2
Boston,Italy,USA,05-07-1994,Italy win after extra time,Nigeria,Round of 16,Foxboro Stadium,Italy, 13:00,1994,507,1,2
New York/New Jersey,Italy,USA,13-07-1994,,Bulgaria,Semi-finals,Giants Stadium,Italy, 16:00,1994,513,1,2
Fortaleza,Ghana,Brazil,21-06-2014,,Ghana,Group G,Estadio Castelao,Germany, 16:00,2014,800,2,2
Fortaleza,Germany,Brazil,21-06-2014,,Germany,Group G,Estadio Castelao,Ghana, 16:00,2014,800,2,2
Manaus,USA,Brazil,22-06-2014,,USA,Group G,Arena Amazonia,Portugal, 18:00,2014,804,2,2
Manaus,Portugal,Brazil,22-06-2014,,Portugal,Group G,Arena Amazonia,USA, 18:00,2014,804,2,2
Montpellier,Norway,France,10-06-1998,,Norway,Group A,La Mosson,Morocco, 21:00,1998,518,2,2
Montpellier,Morocco,France,10-06-1998,,Morocco,Group A,La Mosson,Norway, 21:00,1998,518,2,2
Bordeaux,Italy,France,11-06-1998,,Italy,Group B,Stade du Parc Lescure,Chile, 17:30,1998,519,2,2
Bordeaux,Chile,France,11-06-1998,,Chile,Group B,Stade du Parc Lescure,Italy, 17:30,1998,519,2,2
Bordeaux,South Africa,France,24-06-1998,,South Africa,Group C,Stade du Parc Lescure,Saudi Arabia, 16:00,1998,554,2,2
Bordeaux,Saudi Arabia,France,24-06-1998,,Saudi Arabia,Group C,Stade du Parc Lescure,South Africa, 16:00,1998,554,2,2
Saint-Etienne,Netherlands,France,25-06-1998,,Netherlands,Group E,Stade Geoffroy Guichard,Mexico, 16:00,1998,558,2,2
Saint-Etienne,Mexico,France,25-06-1998,,Mexico,Group E,Stade Geoffroy Guichard,Netherlands, 16:00,1998,558,2,2
Bordeaux,Mexico,France,20-06-1998,,Mexico,Group E,Stade du Parc Lescure,Belgium, 17:30,1998,542,2,2
Bordeaux,Belgium,France,20-06-1998,,Belgium,Group E,Stade du Parc Lescure,Mexico, 17:30,1998,542,2,2
Lens,Yugoslavia,France,21-06-1998,,Yugoslavia,Group F,Stade Felix Bollaert,Germany, 14:30,1998,544,2,2
Lens,Germany,France,21-06-1998,,Germany,Group F,Stade Felix Bollaert,Yugoslavia, 14:30,1998,544,2,2
Saint-Etienne,England,France,30-06-1998,Argentina win on penalties (4 - 3),England,Round of 16,Stade Geoffroy Guichard,Argentina, 21:00,1998,572,2,2
Saint-Etienne,Argentina,France,30-06-1998,Argentina win on penalties (4 - 3),Argentina,Round of 16,Stade Geoffroy Guichard,England, 21:00,1998,572,2,2
Cologne,Sweden,Germany,20-06-2006,,Sweden,Group B,"FIFA World Cup Stadium, Cologne",England, 21:00,2006,679,2,2
Cologne,England,Germany,20-06-2006,,England,Group B,"FIFA World Cup Stadium, Cologne",Sweden, 21:00,2006,679,2,2
Stuttgart,Croatia,Germany,22-06-2006,,Croatia,Group F,Gottlieb-Daimler-Stadion,Australia, 21:00,2006,688,2,2
Stuttgart,Australia,Germany,22-06-2006,,Australia,Group F,Gottlieb-Daimler-Stadion,Croatia, 21:00,2006,688,2,2
Munich,Tunisia,Germany,14-06-2006,,Tunisia,Group H,"FIFA World Cup Stadium, Munich",Saudi Arabia, 18:00,2006,660,2,2
Munich,Saudi Arabia,Germany,14-06-2006,,Saudi Arabia,Group H,"FIFA World Cup Stadium, Munich",Tunisia, 18:00,2006,660,2,2
Busan,South Africa,Korea/Japan,02-06-2002,,South Africa,Group B,Busan Asiad Main Stadium,Paraguay, 16:30,2002,586,2,2
Busan,Paraguay,Korea/Japan,02-06-2002,,Paraguay,Group B,Busan Asiad Main Stadium,South Africa, 16:30,2002,586,2,2
Saitama,Japan,Korea/Japan,04-06-2002,,Japan,Group H,Saitama Stadium 2002,Belgium, 18:00,2002,593,2,2
Saitama,Belgium,Korea/Japan,04-06-2002,,Belgium,Group H,Saitama Stadium 2002,Japan, 18:00,2002,593,2,2
Durban,Nigeria,South Africa,22-06-2010,,Nigeria,Group B,Durban Stadium,Korea Republic, 20:30,2010,743,2,2
Durban,Korea Republic,South Africa,22-06-2010,,Korea Republic,Group B,Durban Stadium,Nigeria, 20:30,2010,743,2,2
Johannesburg,USA,South Africa,18-06-2010,,USA,Group C,Ellis Park Stadium,Slovenia, 16:00,2010,730,2,2
Johannesburg,Slovenia,South Africa,18-06-2010,,Slovenia,Group C,Ellis Park Stadium,USA, 16:00,2010,730,2,2
San Francisco,Sweden,USA,10-07-1994,Sweden win on penalties (4 - 5),Sweden,Quarter-finals,Stanford Stadium,Romania, 12:30,1994,512,2,2
San Francisco,Romania,USA,10-07-1994,Sweden win on penalties (4 - 5),Romania,Quarter-finals,Stanford Stadium,Sweden, 12:30,1994,512,2,2
Porto Alegre,Netherlands,Brazil,18-06-2014,,Netherlands,Group B,Estadio Beira-Rio,Australia, 13:00,2014,790,3,2
Porto Alegre,Argentina,Brazil,25-06-2014,,Argentina,Group F,Estadio Beira-Rio,Nigeria, 13:00,2014,813,3,2
Nantes,Nigeria,France,13-06-1998,,Nigeria,Group D,La Beaujoire,Spain, 14:30,1998,524,3,2
Nantes,Brazil,France,03-07-1998,,Brazil,Quarter-finals,La Beaujoire,Denmark, 21:00,1998,574,3,2
Munich,Cï¿½te d'Ivoire,Germany,21-06-2006,,Cï¿½te d'Ivoire,Group C,"FIFA World Cup Stadium, Munich",Serbia and Montenegro, 21:00,2006,684,3,2
Daejeon,Spain,Korea/Japan,12-06-2002,,Spain,Group B,Daejeon World Cup Stadium,South Africa, 20:30,2002,620,3,2
Suwon,USA,Korea/Japan,05-06-2002,,USA,Group D,Suwon World Cup Stadium,Portugal, 18:00,2002,596,3,2
Shizuoka,Belgium,Korea/Japan,14-06-2002,,Belgium,Group H,Shizuoka Stadium Ecopa,Russia, 15:30,2002,628,3,2
Daegu,Turkey,Korea/Japan,29-06-2002,,Turkey,Third place,Daegu World Cup Stadium,Korea Republic, 20:00,2002,643,3,2
Johannesburg,Slovakia,South Africa,24-06-2010,,Slovakia,Group F,Ellis Park Stadium,Italy, 16:00,2010,749,3,2
Nelson Mandela Bay/Port Elizabeth,Germany,South Africa,10-07-2010,,Germany,Match for third place,Port Elizabeth Stadium,Uruguay, 20:30,2010,771,3,2
Cape Town,Netherlands,South Africa,06-07-2010,,Netherlands,Semi-finals,Cape Town Stadium,Uruguay, 20:30,2010,769,3,2
Dallas,Brazil,USA,09-07-1994,,Brazil,Quarter-finals,Cotton Bowl,Netherlands, 14:30,1994,510,3,2
Chicago,Germany,USA,02-07-1994,,Germany,Round of 16,Soldier Field,Belgium, 12:00,1994,501,3,2
Los Angeles,Romania,USA,03-07-1994,,Romania,Round of 16,Rose Bowl,Argentina, 13:30,1994,504,3,2
Porto Alegre,Algeria,Brazil,22-06-2014,,Algeria,Group H,Estadio Beira-Rio,Korea Republic, 16:00,2014,803,4,2
